[3/27/26, 5:04:04:544 UTC] 0000cc99 SystemErr                                                    R 	at com.ibm.ws.tcpchannel.internal.NewConnectionInitialReadCallback.complete(NewConnectionInitialReadCallback.java:77)
[3/27/26, 5:04:04:544 UTC] 0000cc99 SystemErr                                                    R 	at com.ibm.ws.tcpchannel.internal.WorkQueueManager.requestComplete(WorkQueueManager.java:516)
[3/27/26, 5:04:04:544 UTC] 0000cc99 SystemErr                                                    R 	at com.ibm.ws.tcpchannel.internal.WorkQueueManager.attemptIO(WorkQueueManager.java:586)
[3/27/26, 5:04:04:545 UTC] 0000cc99 SystemErr                                                    R 	at com.ibm.ws.tcpchannel.internal.WorkQueueManager.workerRun(WorkQueueManager.java:970)
[3/27/26, 5:04:04:545 UTC] 0000cc99 SystemErr                                                    R 	at com.ibm.ws.tcpchannel.internal.WorkQueueManager$Worker.run(WorkQueueManager.java:1059)
[3/27/26, 5:04:04:545 UTC] 0000cc99 SystemErr                                                    R 	at com.ibm.ws.threading.internal.ExecutorServiceImpl$RunnableWrapper.run(ExecutorServiceImpl.java:280)
[3/27/26, 5:04:04:545 UTC] 0000cc99 SystemErr                                                    R 	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1144)
[3/27/26, 5:04:04:545 UTC] 0000cc99 SystemErr                                                    R 	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:642)
[3/27/26, 5:04:04:546 UTC] 0000cc99 SystemErr                                                    R 	at java.base/java.lang.Thread.run(Thread.java:1583)
[3/27/26, 5:04:04:546 UTC] 0000cc99 SystemErr                                                    R Caused by: javax.net.ssl.SSLHandshakeException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target
[3/27/26, 5:04:04:547 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.Alert.createSSLException(Alert.java:130)
[3/27/26, 5:04:04:547 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.TransportContext.fatal(TransportContext.java:383)
[3/27/26, 5:04:04:547 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.TransportContext.fatal(TransportContext.java:326)
[3/27/26, 5:04:04:548 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.TransportContext.fatal(TransportContext.java:321)
[3/27/26, 5:04:04:548 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.CertificateMessage$T13CertificateConsumer.checkServerCerts(CertificateMessage.java:1318)
[3/27/26, 5:04:04:548 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.CertificateMessage$T13CertificateConsumer.onConsumeCertificate(CertificateMessage.java:1195)
[3/27/26, 5:04:04:549 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.CertificateMessage$T13CertificateConsumer.consume(CertificateMessage.java:1138)
[3/27/26, 5:04:04:549 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.SSLHandshake.consume(SSLHandshake.java:393)
[3/27/26, 5:04:04:549 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.HandshakeContext.dispatch(HandshakeContext.java:476)
[3/27/26, 5:04:04:549 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.HandshakeContext.dispatch(HandshakeContext.java:447)
[3/27/26, 5:04:04:549 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.TransportContext.dispatch(TransportContext.java:206)
[3/27/26, 5:04:04:550 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.SSLTransport.decode(SSLTransport.java:172)
[3/27/26, 5:04:04:550 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.SSLSocketImpl.decode(SSLSocketImpl.java:1506)
[3/27/26, 5:04:04:551 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.SSLSocketImpl.readHandshakeRecord(SSLSocketImpl.java:1421)
[3/27/26, 5:04:04:551 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.SSLSocketImpl.startHandshake(SSLSocketImpl.java:455)
[3/27/26, 5:04:04:551 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.SSLSocketImpl.startHandshake(SSLSocketImpl.java:426)
[3/27/26, 5:04:04:551 UTC] 0000cc99 SystemErr                                                    R 	at com.sun.mail.util.SocketFetcher.configureSSLSocket(SocketFetcher.java:602)
[3/27/26, 5:04:04:552 UTC] 0000cc99 SystemErr                                                    R 	at com.sun.mail.util.SocketFetcher.startTLS(SocketFetcher.java:529)
[3/27/26, 5:04:04:552 UTC] 0000cc99 SystemErr                                                    R 	at com.sun.mail.smtp.SMTPTransport.startTLS(SMTPTransport.java:2135)
[3/27/26, 5:04:04:552 UTC] 0000cc99 SystemErr                                                    R 	... 113 more
[3/27/26, 5:04:04:553 UTC] 0000cc99 SystemErr                                                    R Caused by: java.security.cert.CertificateException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target
[3/27/26, 5:04:04:553 UTC] 0000cc99 SystemErr                                                    R 	at com.ibm.ws.ssl.core.WSX509TrustManager.processServerTrustError(WSX509TrustManager.java:957)
[3/27/26, 5:04:04:554 UTC] 0000cc99 SystemErr                                                    R 	at com.ibm.ws.ssl.core.WSX509TrustManager.checkServerTrusted(WSX509TrustManager.java:746)
[3/27/26, 5:04:04:554 UTC] 0000cc99 SystemErr                                                    R 	at java.base/sun.security.ssl.CertificateMessage$T13CertificateConsumer.checkServerCerts(CertificateMessage.java:1302)
[3/27/26, 5:04:04:554 UTC] 0000cc99 SystemErr                                                    R 	... 127 more
